====================================================
LEVEL.CASINO SEO + PLATFORM UPDATES AUDIT
DATE: Mon Aug 10 06:14:24 CAT 2026
====================================================

=== ROUTES ===
worker/routes.js:31:    // LISTING PAGES
worker/controllers.js:182:      // Public pages don't need a CSRF token, but set it to empty for the meta tag
worker/controllers.js:314:    "mainEntityOfPage": {
worker/controllers.js:315:  "@type": "WebPage",
worker/controllers.js:768:export async function renderNews(request, env, slug) {
worker/controllers.js:769:  const article = await news.getNews(env.DB, slug);
worker/controllers.js:777:  const allComponents = await renderer.renderAllComponents("news", slug);
worker/controllers.js:779:  const dynamicSeo = await renderer.loadDynamicSeo("news", slug);
worker/controllers.js:781:  const newsSchema = {
worker/controllers.js:783:    "@type": "NewsArticle",
worker/controllers.js:789:  const html = await renderer.render("news.html", {
worker/controllers.js:791:    canonical: dynamicSeo.canonical || `https://level.casino/en/news/${slug}`,
worker/controllers.js:803:  }, newsSchema, buildBreadcrumbs("news", { title: article.title }));
worker/controllers.js:875:export async function renderDashboardPage(request, env) {
worker/controllers.js:884:    // Admins and editors get the shared admin nav via renderAdminPage
worker/controllers.js:886:        return renderAdminPage(request, env, "admin/dashboard.html");
worker/controllers.js:891:        // Add CSRF token for admin pages — used by rich-editor.js and media-library.js
worker/controllers.js:906:export async function renderDashboardPagebackup(request, env) {
worker/controllers.js:962:    const pages = await env.DB.prepare(
worker/controllers.js:963:        "SELECT COUNT(*) c FROM pages"
worker/controllers.js:970:        pages: pages.c
worker/controllers.js:983:Sitemap: https://level.casino/en/sitemap-news.xml
worker/controllers.js:986:Sitemap: https://level.casino/en/sitemap-pages.xml`,
worker/controllers.js:1041:export async function renderCategory(request, env, slug) {
worker/controllers.js:1042:  const category = await categories.getCategory(env.DB, slug);
worker/controllers.js:1043:  if (!category) return render404(request, env);
worker/controllers.js:1045:  const casinoList = await categories.getCategoryCasinos(env.DB, slug);
worker/controllers.js:1050:  const categorySchema = {
worker/controllers.js:1053:    "name": `${category.name} Type Online Casinos`,
worker/controllers.js:1061:  const allComponents = await renderer.renderAllComponents("category", slug);
worker/controllers.js:1062:  const dynamicSeo = await renderer.loadDynamicSeo("category", slug);
worker/controllers.js:1063:  const html = await renderer.render("category.html", {
worker/controllers.js:1070:    seo_title: dynamicSeo.seo_title || category.seo_title || category.name + " Casinos",
worker/controllers.js:1071:    seo_description: dynamicSeo.seo_description || category.seo_description || "",
worker/controllers.js:1072:    canonical: dynamicSeo.canonical || `https://level.casino/en/category/${slug}`,
worker/controllers.js:1073:    category: category.name,
worker/controllers.js:1074:    description: category.description,
worker/controllers.js:1076:  }, categorySchema, buildBreadcrumbs("category", { category: category.name }));
worker/controllers.js:1098:export async function renderDynamicPage(request, env, slug) {
worker/controllers.js:1099:  const page = await pages.getPage(env.DB, slug);
worker/controllers.js:1100:  if (!page) return render404(request, env);
worker/controllers.js:1104:  if (page.author_id) {
worker/controllers.js:1105:    author = await authors.getAuthorById(env.DB, page.author_id);
worker/controllers.js:1107:  const allComponents = await renderer.renderAllComponents("page", slug);
worker/controllers.js:1108:  const dynamicSeo = await renderer.loadDynamicSeo("page", slug);
worker/controllers.js:1110:  const pageSchema = {
worker/controllers.js:1112:    "@type": "WebPage",
worker/controllers.js:1113:    "name": page.title,
worker/controllers.js:1114:    "description": page.seo_description || "",
worker/controllers.js:1115:    "datePublished": page.created_at,
worker/controllers.js:1116:    "dateModified": page.updated_at || page.created_at
worker/controllers.js:1118:  const html = await renderer.render("page.html", {
worker/controllers.js:1119:    ...page,
worker/controllers.js:1125:    datePublished: formatDate(page.created_at),
worker/controllers.js:1126:    dateModified: formatDate(page.updated_at || page.created_at),
worker/controllers.js:1127:    content_json: parseContentJson(page.content_json),
worker/controllers.js:1133:    seo_title: dynamicSeo.seo_title || page.title,
worker/controllers.js:1134:    seo_description: dynamicSeo.seo_description || page.seo_description || "",
worker/controllers.js:1135:  }, pageSchema, buildBreadcrumbs("page", { title: page.title }));
worker/controllers.js:1141:  const page = await pages.getPage(env.DB, slug);
worker/controllers.js:1142:  if (!page) return render404(request, env);
worker/controllers.js:1145:  const pageSchema = {
worker/controllers.js:1147:    "@type": "WebPage",
worker/controllers.js:1148:    "name": page.title
worker/controllers.js:1151:    ...page,
worker/controllers.js:1152:    content_json: parseContentJson(page.content_json)
worker/controllers.js:1153:  }, pageSchema, buildBreadcrumbs("affiliate", { title: page.title }));
worker/controllers.js:1228:    seo_title: "404 - Page Not Found",
worker/controllers.js:1229:    seo_description: "Sorry, this page does not exist on Level.casino."
worker/controllers.js:1257:    // Public pages don't need a CSRF token, but set it to empty for the meta tag
worker/controllers.js:1258:  const html = await renderer.render("category.html", {
worker/controllers.js:1260:    category: "All Casinos",
worker/controllers.js:1355:      // Public pages don't need a CSRF token, but set it to empty for the meta tag
worker/controllers.js:1356:  const html = await renderer.render("category.html", {
worker/controllers.js:1358:    category: "All Reviews",
worker/controllers.js:1373:export async function renderNewsList(request, env) {
worker/controllers.js:1375:  const newsList = await news.getAllNews(env.DB);
worker/controllers.js:1376:  const allComponents = await renderer.renderAllComponents("news_list", "news_list");
worker/controllers.js:1377:  const dynamicSeo = await renderer.loadDynamicSeo("news_list", "news_list");
worker/controllers.js:1379:  const newsCards = newsList.map(n => `
worker/controllers.js:1380:    <a href="/en/news/${n.slug}" class="news-card">
worker/controllers.js:1383:      <span class="news-date">${new Date(n.created_at).toLocaleDateString()}</span>
worker/controllers.js:1390:    "name": "iGaming Industry News Feed",
worker/controllers.js:1391:    "itemListElement": newsList.map((n, idx) => ({
worker/controllers.js:1393:      "url": `https://level.casino/en/news/${n.slug}`
worker/controllers.js:1396:      // Public pages don't need a CSRF token, but set it to empty for the meta tag
worker/controllers.js:1397:  const html = await renderer.render("category.html", {
worker/controllers.js:1398:    canonical: dynamicSeo.canonical || "https://level.casino/en/news",
worker/controllers.js:1399:    category: "Latest News",
worker/controllers.js:1400:    description: "Latest iGaming industry news and updates.",
worker/controllers.js:1401:    casino_cards: `<div class="news-grid">${newsCards}</div>`,
worker/controllers.js:1407:    seo_title: dynamicSeo.seo_title || "Casino News — Level.casino",
worker/controllers.js:1408:    seo_description: dynamicSeo.seo_description || "Latest iGaming and online casino industry news."
worker/controllers.js:1409:  }, listSchema, buildBreadcrumbs("newsList"));
worker/controllers.js:1414:async function renderAdminPage(request, env, template, extraData = {}) {
worker/controllers.js:1444:  return renderAdminPage(request, env, "admin/casinos.html");
worker/controllers.js:1447:  return renderAdminPage(request, env, "admin/casino-create.html");
worker/controllers.js:1450:  return renderAdminPage(request, env, "admin/reviews.html");
worker/controllers.js:1452:export async function renderDashboardNews(request, env) {
worker/controllers.js:1453:  return renderAdminPage(request, env, "admin/news.html");
worker/controllers.js:1455:export async function renderDashboardPages(request, env) {
worker/controllers.js:1456:  return renderAdminPage(request, env, "admin/pages.html");
worker/controllers.js:1459:  return renderAdminPage(request, env, "admin/settings.html");
worker/controllers.js:1462:  return renderAdminPage(request, env, "admin/ai.html");
worker/controllers.js:1466:async function renderUserPage(request, env, template) {
worker/controllers.js:1489:  return renderUserPage(request, env, "users/dashboard.html");
worker/controllers.js:1492:  return renderUserPage(request, env, "users/submit-casino.html");
worker/controllers.js:1495:  return renderUserPage(request, env, "users/inquiries.html");
worker/controllers.js:1498:  return renderUserPage(request, env, "users/profile.html");
worker/controllers.js:1501:  return renderUserPage(request, env, "users/notifications.html");
worker/controllers.js:1505:export async function renderCategoryList(request, env) {
worker/controllers.js:1508:  const allComponents = await renderer.renderAllComponents("category_list", "category_list");
worker/controllers.js:1509:  const dynamicSeo = await renderer.loadDynamicSeo("category_list", "category_list");
worker/controllers.js:1511:  const categoryCards = cats.map(c => `
worker/controllers.js:1513:      <h3><a href="/en/category/${c.slug}">${c.name}</a></h3>
worker/controllers.js:1517:      // Public pages don't need a CSRF token, but set it to empty for the meta tag
worker/controllers.js:1518:  const html = await renderer.render("category.html", {
worker/controllers.js:1519:    category: "All Categories",
worker/controllers.js:1520:    description: "Browse casinos by category.",
worker/controllers.js:1521:    casino_cards: `<div class="features-grid">${categoryCards}</div>`,
worker/controllers.js:1528:    seo_description: dynamicSeo.seo_description || "Browse online casinos by category."
worker/controllers.js:1529:  }, {}, buildBreadcrumbs("categoryList"));
worker/controllers.js:1543:    // Public pages don't need a CSRF token, but set it to empty for the meta tag
worker/controllers.js:1544:  const html = await renderer.render("category.html", {
worker/controllers.js:1545:    category: "All Countries",
worker/controllers.js:1561:  return renderAdminPage(request, env, "admin/categories.html");
worker/controllers.js:1565:  return renderAdminPage(request, env, "admin/countries.html");
worker/controllers.js:1569:  return renderAdminPage(request, env, "admin/casino-edit.html", { slug });
worker/controllers.js:1574:  return renderAdminPage(request, env, "admin/components.html");
worker/controllers.js:1578:  return renderAdminPage(request, env, "admin/seo.html");
worker/controllers.js:1587:// AUTHOR PROFILE PAGE
worker/controllers.js:1614:  // Build news cards
worker/controllers.js:1615:  const newsCards = content.news.map(n => `
worker/controllers.js:1616:    <a href="/en/news/${n.slug}" class="news-card">
worker/controllers.js:1622:  // Build page list
worker/controllers.js:1623:  const pageList = content.pages.map(p => `
worker/controllers.js:1644:    news_cards: newsCards || '<p class="muted">No articles yet.</p>',
worker/controllers.js:1645:    page_list: pageList || '<li class="muted">No pages yet.</li>',
worker/controllers.js:1647:    news_count: stats.news,
worker/controllers.js:1648:    page_count: stats.pages,
worker/controllers.js:1667:  return renderAdminPage(request, env, "admin/authors.html");
worker/controllers.js:1672:  return renderAdminPage(request, env, "admin/media.html");
worker/controllers.js:1676:  return renderAdminPage(request, env, "admin/nav.html");
worker/controllers.js:1680:  return renderAdminPage(request, env, "admin/permissions.html");
worker/controllers.js:1684:  return renderUserPage(request, env, "users/bookmarks.html");
worker/controllers.js:1689:  return renderAdminPage(request, env, "admin/users.html");
worker/controllers.js:1693:  return renderAdminPage(request, env, "admin/inquiries.html");
worker/controllers.js:1697:  return renderAdminPage(request, env, "admin/submissions.html");
worker/controllers.js:1701:  return renderAdminPage(request, env, "admin/notifications.html");
worker/controllers.js:1705:  return renderAdminPage(request, env, "admin/banners.html");
worker/controllers.js:1710:export async function renderSitemapPage(request, env) {
worker/controllers.js:1716:    "@type": "CollectionPage",
worker/controllers.js:1718:    "description": "Explore casino reviews, rankings, guides and industry news."
worker/controllers.js:1720:      // Public pages don't need a CSRF token, but set it to empty for the meta tag
worker/controllers.js:1725:      seo_description: "Explore casino reviews, rankings, guides and industry news.",
worker/controllers.js:1729:    buildBreadcrumbs("page", {

=== TEMPLATES ===
templates/components/author.html
templates/components/banner.html
templates/components/bonus-box.html
templates/components/breadcrumbs.html
templates/components/casino-card.html
templates/components/casino_grid.html
templates/components/comparison_table.html
templates/components/cta.html
templates/components/faq_group.html
templates/components/hero.html
templates/components/html.html
templates/components/news_feed.html
templates/components/review-block.html
templates/components/review-box.html
templates/components/seo-box.html
templates/components/text.html
templates/layout/admin-nav.html
templates/layout/base.html
templates/layout/base.html.save
templates/layout/footer.html
templates/layout/footerbackup.html
templates/layout/header.html
templates/layout/sidebar.html
templates/layout/sidebarstable.html
templates/pages/404.html
templates/pages/admin/ai.html
templates/pages/admin/authors.html
templates/pages/admin/banners.html
templates/pages/admin/casino-create.html
templates/pages/admin/casino-edit.html
templates/pages/admin/casinos.html
templates/pages/admin/categories.html
templates/pages/admin/components.html
templates/pages/admin/countries.html
templates/pages/admin/dashboard.html
templates/pages/admin/inquiries.html
templates/pages/admin/media.html
templates/pages/admin/nav.html
templates/pages/admin/news.html
templates/pages/admin/notifications.html
templates/pages/admin/pages.html
templates/pages/admin/permissions.html
templates/pages/admin/reviews.html
templates/pages/admin/seo.html
templates/pages/admin/settings.html
templates/pages/admin/submissions.html
templates/pages/admin/users.html
templates/pages/affiliate.html
templates/pages/author.html
templates/pages/casino.html
templates/pages/category.html
templates/pages/country.html
templates/pages/dashboard.html
templates/pages/home.html
templates/pages/login.html
templates/pages/news.html
templates/pages/page.html
templates/pages/register.html
templates/pages/review.html
templates/pages/sitemap.html
templates/pages/users/bookmarks.html
templates/pages/users/dashboard.html
templates/pages/users/inquiries.html
templates/pages/users/notifications.html
templates/pages/users/profile.html
templates/pages/users/submit-casino.html

=== NEWS/PAGE/CATEGORY TEMPLATES ===
templates/pages/home.html
templates/pages/casino.html
templates/pages/review.html
templates/pages/news.html
templates/pages/country.html
templates/pages/category.html
templates/pages/dashboard.html
templates/pages/login.html
templates/pages/register.html
templates/pages/affiliate.html
templates/pages/page.html
templates/pages/admin/dashboard.html
templates/pages/admin/casinos.html
templates/pages/admin/casino-create.html
templates/pages/admin/reviews.html
templates/pages/admin/news.html
templates/pages/admin/pages.html
templates/pages/admin/settings.html
templates/pages/admin/ai.html
templates/pages/admin/categories.html
templates/pages/admin/countries.html
templates/pages/admin/casino-edit.html
templates/pages/admin/components.html
templates/pages/admin/seo.html
templates/pages/admin/authors.html
templates/pages/admin/media.html
templates/pages/admin/nav.html
templates/pages/admin/permissions.html
templates/pages/admin/users.html
templates/pages/admin/inquiries.html
templates/pages/admin/submissions.html
templates/pages/admin/notifications.html
templates/pages/admin/banners.html
templates/pages/404.html
templates/pages/author.html
templates/pages/sitemap.html
templates/pages/users/dashboard.html
templates/pages/users/submit-casino.html
templates/pages/users/inquiries.html
templates/pages/users/profile.html
templates/pages/users/notifications.html
templates/pages/users/bookmarks.html
templates/components/news_feed.html

=== DATABASE TABLE DEFINITIONS ===
migrations/schema.sql:183:CREATE TABLE news (
migrations/schema.sql:212:CREATE TABLE categories (
migrations/schema.sql:234:CREATE TABLE pages (
migrations/schema.sql:356:CREATE TABLE casino_categories (
migrations/0003_component_engine.sql:49:CREATE TABLE IF NOT EXISTS seo_meta (

=== SEO DATABASE CODE ===
// =====================================================
// SEO META DATABASE MODULE
// =====================================================

export async function getSeoMeta(db, pageType, pageSlug) {
  return await db.prepare(`
    SELECT * FROM seo_meta
    WHERE page_type = ? AND page_slug = ?
    LIMIT 1
  `).bind(pageType, pageSlug).first();
}

export async function upsertSeoMeta(db, data) {
  return await db.prepare(`
    INSERT INTO seo_meta (page_type, page_slug, title, description, keywords, canonical, og_image, schema_json, robots)
    VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)
    ON CONFLICT(page_type, page_slug) DO UPDATE SET
      title = excluded.title,
      description = excluded.description,
      keywords = excluded.keywords,
      canonical = excluded.canonical,
      og_image = excluded.og_image,
      schema_json = excluded.schema_json,
      robots = excluded.robots,
      updated_at = CURRENT_TIMESTAMP
  `).bind(
    data.page_type,
    data.page_slug,
    data.title || null,
    data.description || null,
    data.keywords || null,
    data.canonical || null,
    data.og_image || null,
    data.schema_json || null,
    data.robots || "index, follow"
  ).run();
}

export async function deleteSeoMeta(db, pageType, pageSlug) {
  return await db.prepare(`
    DELETE FROM seo_meta WHERE page_type = ? AND page_slug = ?
  `).bind(pageType, pageSlug).run();
}

export async function getAllSeoMeta(db) {
  const result = await db.prepare(`
    SELECT * FROM seo_meta ORDER BY updated_at DESC
  `).all();
  return result.results || [];
}

=== SEO RENDERER ===
134:  async loadDynamicSeo(pageType, pageSlug) {
139:      seo_title: seo.title || "",
140:      seo_description: seo.description || "",
141:      canonical: seo.canonical || "",
142:      og_image: seo.og_image || "",
144:      seo_schema: seo.schema_json || "",
145:      seo_robots: seo.robots || "index, follow"
264:  const title = data.seo_title || "Level.casino — Expert Casino Reviews";
265:  const description = this.escapeHtml(data.seo_description || "");
266:  const canonical = data.canonical || "";
267:  const ogImage = data.og_image || "https://level.casino/static/images/og-image.png";
272:<link rel="canonical" href="${canonical}">
276:<meta property="og:url" content="${canonical}">
281:<meta name="twitter:url" content="${canonical}">
295:  buildSchemas(schemas = []) {
296:  return schemas
298:    .map(schema => `
300:${JSON.stringify(schema)}
309:  async render(pageTemplate, data = {}, schema = {}, breadcrumbs = []) {
323:    const schemas = [];
325:    schemas.push({
326:      "@context":"https://schema.org",
334:    schemas.push({
335:      "@context": "https://schema.org",
341:    if (schema) {
342:        schemas.push(schema);
346:      schemas.push(buildBreadcrumbSchema(breadcrumbs));
349:    const jsonld = this.buildSchemas(schemas);

=== SEO CONTROLLERS ===
164:  const dynamicSeo = await renderer.loadDynamicSeo("homepage", "homepage");
167:    "@context": "https://schema.org",
184:    seo_title: dynamicSeo.seo_title || "Level.casino — Expert Casino Reviews & Bonuses",
185:    seo_description: dynamicSeo.seo_description || "Expert casino reviews, exclusive bonuses, and real player data for casinos worldwide.",
186:    canonical: dynamicSeo.canonical || "https://level.casino/en",
187:    og_image: dynamicSeo.og_image || "",
220:    "@context": "https://schema.org",
236:    seo_title: "Level.casino — Expert Casino Reviews & Bonuses",
237:    seo_description: "Expert casino reviews, exclusive bonuses, and real player data for casinos worldwide.",
238:    canonical: "https://level.casino/en",
286:    "@context": "https://schema.org",
328:  const dynamicSeo = await renderer.loadDynamicSeo("casino", slug);
336:    seo_title: dynamicSeo.seo_title || casino.seo_title || casino.name,
337:    seo_description: dynamicSeo.seo_description || casino.seo_description || "",
338:    canonical: dynamicSeo.canonical || `https://level.casino/en/casino/${slug}`,
671:  const dynamicSeo = await renderer.loadDynamicSeo("review", slug);
684:    "@context": "https://schema.org",
750:    seo_title: dynamicSeo.seo_title || review.seo_title || review.title,
751:    seo_description: dynamicSeo.seo_description || review.seo_description || "",
752:    canonical: dynamicSeo.canonical || `https://level.casino/en/review/${slug}`,
779:  const dynamicSeo = await renderer.loadDynamicSeo("news", slug);
782:    "@context": "https://schema.org",
791:    canonical: dynamicSeo.canonical || `https://level.casino/en/news/${slug}`,
801:    seo_title: dynamicSeo.seo_title || article.title,
802:    seo_description: dynamicSeo.seo_description || (article.content || "").substring(0, 155),
894:        seo_title: "Dashboard",
895:        seo_description: "Level.casino Dashboard",
927:        seo_title: "Dashboard",
928:        seo_description: "Level.casino Dashboard",
974:export function robots() {
1001:    code, name: code, seo_title: null, seo_description: null
1011:    "@context": "https://schema.org",
1022:  const dynamicSeo = await renderer.loadDynamicSeo("country", code);
1030:    seo_title: dynamicSeo.seo_title || countryData.seo_title || countryData.name + " Online Casinos",
1031:    seo_description: dynamicSeo.seo_description || countryData.seo_description || "",
1032:    canonical: dynamicSeo.canonical || `https://level.casino/en/country/${code}`,
1051:    "@context": "https://schema.org",
1062:  const dynamicSeo = await renderer.loadDynamicSeo("category", slug);
1070:    seo_title: dynamicSeo.seo_title || category.seo_title || category.name + " Casinos",
1071:    seo_description: dynamicSeo.seo_description || category.seo_description || "",
1072:    canonical: dynamicSeo.canonical || `https://level.casino/en/category/${slug}`,
1108:  const dynamicSeo = await renderer.loadDynamicSeo("page", slug);
1111:    "@context": "https://schema.org",
1114:    "description": page.seo_description || "",
1120:    canonical: dynamicSeo.canonical || `https://level.casino/en/${slug}`,
1133:    seo_title: dynamicSeo.seo_title || page.title,
1134:    seo_description: dynamicSeo.seo_description || page.seo_description || "",
1146:    "@context": "https://schema.org",
1172:        seo_title:
1174:        seo_description:
1176:        canonical: "https://level.casino/en/login"
1204:        seo_title:
1206:        seo_description:
1208:        canonical: "https://level.casino/en/register"
1228:    seo_title: "404 - Page Not Found",
1229:    seo_description: "Sorry, this page does not exist on Level.casino."
1246:  const dynamicSeo = await renderer.loadDynamicSeo("casino_list", "casino_list");
1249:    "@context": "https://schema.org",
1259:    canonical: dynamicSeo.canonical || "https://level.casino/en/casino",
1268:    seo_title: dynamicSeo.seo_title || "All Online Casinos — Level.casino",
1269:    seo_description: dynamicSeo.seo_description || "Complete directory of reviewed online casinos with bonuses and ratings."
1282:  const dynamicSeo = await renderer.loadDynamicSeo("review_list", "review_list");
1347:    "@context": "https://schema.org",
1357:    canonical: dynamicSeo.canonical || "https://level.casino/en/review",
1366:    seo_title: dynamicSeo.seo_title || "All Casino Reviews — Level.casino",
1367:    seo_description: dynamicSeo.seo_description || "In-depth casino reviews with pros, cons, and ratings."
1377:  const dynamicSeo = await renderer.loadDynamicSeo("news_list", "news_list");
1388:    "@context": "https://schema.org",
1398:    canonical: dynamicSeo.canonical || "https://level.casino/en/news",
1407:    seo_title: dynamicSeo.seo_title || "Casino News — Level.casino",
1408:    seo_description: dynamicSeo.seo_description || "Latest iGaming and online casino industry news."
1426:      seo_title: "Admin — Level.casino",
1427:      seo_description: "Level.casino CMS Admin",
1477:    seo_title: "Level.casino — Dashboard",
1478:    seo_description: "Manage your account",
1509:  const dynamicSeo = await renderer.loadDynamicSeo("category_list", "category_list");
1527:    seo_title: dynamicSeo.seo_title || "Casino Categories — Level.casino",
1528:    seo_description: dynamicSeo.seo_description || "Browse online casinos by category."
1538:  const dynamicSeo = await renderer.loadDynamicSeo("country_list", "country_list");
1553:    seo_title: dynamicSeo.seo_title || "Online Casinos by Country — Level.casino",
1554:    seo_description: dynamicSeo.seo_description || "Find online casinos available in your country."
1598:  const dynamicSeo = await renderer.loadDynamicSeo("author", slug);
1628:    "@context": "https://schema.org",
1654:    seo_title: dynamicSeo.seo_title || author.name + " — Level.casino",
1655:    seo_description: dynamicSeo.seo_description || author.bio || author.name + " is a " + (author.role || "editor") + " at Level.casino.",
1656:    canonical: dynamicSeo.canonical || `https://level.casino/en/author/${slug}`
1715:    "@context": "https://schema.org",
1724:      seo_title: "Level.casino Sitemap",
1725:      seo_description: "Explore casino reviews, rankings, guides and industry news.",

=== ADMIN SEO ===
<div class="admin-wrapper">
  {{admin_nav}}
  <div class="admin-content">
    <div class="admin-header"><h1>SEO Metadata</h1></div>

    <table class="admin-table">
      <thead>
        <tr><th>Page Type</th><th>Page Slug</th><th>Title</th><th>Robots</th><th>Actions</th></tr>
      </thead>
      <tbody id="seoTableBody">
        <tr><td colspan="5" class="muted">Loading...</td></tr>
      </tbody>
    </table>

    <h2 style="margin-top:30px">Add / Edit SEO Meta</h2>
    <form id="seoForm" class="admin-form">
      <input type="hidden" name="id" id="seoId" value="">
      <div class="form-row">
        <div class="form-group">
          <label>Page Type *</label>
          <select name="page_type" required>
            <option value="homepage">Homepage</option>
            <option value="review">Review</option>
            <option value="casino">Casino</option>
            <option value="country">Country</option>
            <option value="category">Category</option>
            <option value="news">News</option>
            <option value="page">Static Page</option>
          </select>
        </div>
        <div class="form-group">
          <label>Page Slug *</label>
          <input type="text" name="page_slug" required placeholder="e.g. homepage, fresh-casino-review">
        </div>
      </div>
      <div class="form-group">
        <label>SEO Title</label>
        <input type="text" name="title" placeholder="Page title for search engines">
      </div>
      <div class="form-group">
        <label>Meta Description</label>
        <textarea name="description" placeholder="155 char description"></textarea>
      </div>
      <div class="form-row">
        <div class="form-group">
          <label>Keywords</label>
          <input type="text" name="keywords" placeholder="comma, separated, keywords">
        </div>
        <div class="form-group">
          <label>Canonical URL</label>
          <input type="text" name="canonical" placeholder="https://level.casino/en/...">
        </div>
      </div>
      <div class="form-row">
        <div class="form-group">
          <label>OG Image URL</label>
          <input type="text" name="og_image" placeholder="https://...">
        </div>
        <div class="form-group">
          <label>Robots Directive</label>
          <select name="robots">
            <option value="index, follow">index, follow</option>
            <option value="noindex, follow">noindex, follow</option>
            <option value="index, nofollow">index, nofollow</option>
            <option value="noindex, nofollow">noindex, nofollow</option>
          </select>
        </div>
      </div>
      <div class="form-group">
        <label>Custom Schema (JSON-LD)</label>
        <textarea name="schema_json" style="min-height:120px;font-family:monospace;font-size:13px" placeholder='{"@context":"https://schema.org","@type":"..."}'></textarea>
      </div>
      <div id="seoFormAlert" class="alert" style="display:none"></div>
      <div style="display:flex;gap:12px">
        <button type="submit" class="btn btn--primary btn--lg" id="seoSubmitBtn">Save SEO Meta</button>
        <button type="button" class="btn btn--ghost btn--lg" id="seoCancelEdit" style="display:none" onclick="cancelSeoEdit()">Cancel Edit</button>
      </div>
    </form>
  </div>
</div>

=== SEO JS ===
static/js/dashboard.js:207:      seo_title: formData.get("seo_title") || null,
static/js/dashboard.js:208:      seo_description: formData.get("seo_description") || null,
static/js/admin.js:84:     // seo_title: formData.get("seo_title") || null,
static/js/admin.js:85:     // seo_description: formData.get("seo_description") || null,
static/js/admin.js:122:  seo_title: formData.get("seo_title") || null,
static/js/admin.js:124:  seo_description: formData.get("seo_description") || null,
static/js/admin.js:226:      seo_title: formData.get("seo_title") || null,
static/js/admin.js:227:      seo_description: formData.get("seo_description") || null,
static/js/admin.js:325:      seo_title: formData.get("seo_title") || null,
static/js/admin.js:326:      seo_description: formData.get("seo_description") || null,
static/js/admin.js:573:      seo_title: formData.get("seo_title") || null,
static/js/admin.js:574:      seo_description: formData.get("seo_description") || null,
static/js/admin.js:668:      seo_title: formData.get("seo_title") || null,
static/js/admin.js:669:      seo_description: formData.get("seo_description") || null,
static/js/admin.js:817:    form.querySelector("[name='seo_title']").value = review.seo_title || "";
static/js/admin.js:818:    form.querySelector("[name='seo_description']").value = review.seo_description || "";
static/js/admin.js:857:    form.querySelector("[name='seo_title']").value = article.seo_title || "";
static/js/admin.js:858:    form.querySelector("[name='seo_description']").value = article.seo_description || "";
static/js/admin.js:993:    form.querySelector("[name='seo_title']").value =
static/js/admin.js:994:      page.seo_title || "";
static/js/admin.js:996:    form.querySelector("[name='seo_description']").value =
static/js/admin.js:997:      page.seo_description || "";
